name,shipping,status,price,free_returns,items_sold
Brand New Arm Pads Caps Replacement For Haworth Zody Office Chair Black 1 Pair,0,Brand New,2599,False,2077
"Pink Gaming Chair for Kids, Gamer Chair for Teens Adults Computer Chair",2000,Brand New,9900,False,
"gaming chair,   Blue and black.  Needs piston.  ",,Pre-Owned,3000,False,
High Back Leather Office Chair Executive Office Desk Task Computer Chair Swivel,0,Brand New,11499,True,536
Alfred Contemporary Deep Button Tufted Fabric Club Chair with Nailhead Accents,0,Brand New,14169,False,
Portable Steel Back Folding Chair 4-Pack Heavy Duty Durable Black，Easy Storage,0,Brand New,5799,False,
Herman Miller Aeron Office Chair Arm Pads Caps NEW SOFTER VERSION (1 Pair),0,Brand New,2250,False,
Herman Miller Aeron Chair Mesh Headrest New  Fits A B C Size Remastered Aeron,0,Brand New,9997,False,
Herman Miller Mirra 2 Chair - Brand New - Computer-Office desk Chair,,New – Open box,50000,False,27
Deluxe Padded Recliner Comfort Coils Lazy Boy Chair Comfy Comfortable Seat,0,Brand New,23999,True,
New ListingFerghana Pink Gaming/Office Chair,10360,Brand New,2560,False,
Stretch Plush Thick Sofa Covers 1 2 3 4 Seater Couch Chair Slipcover Protector,0,Brand New,1990,False,
Mini Portable Folding Chair Outdoor Camping Fishing Picnic Beach Stool Seat NEW,0,Brand New,1297,True,665
"Herman Miller Aeron Remastered Chair - Size A, -  open box  -",0,New – Open box,89911,True,214
Red Gaming Race Chair,0,Brand New,11500,False,
X Rocker SE 2.1 Black Leather Video Gaming Chair Includes Ergonomic Back Support,0,Brand New,25354,False,12
48Pcs Ruby Slider Chair Leg Protector For Hardwood Floors Fits All Shape Chair,0,Brand New,487,False,
Wicker Papasan Chair with 360-Degree Swivel,0,Brand New,7759,False,
PICKUP Ergonomic Office Chair Adjustable Mesh Backrest Computer Gaming Chair,,Brand New,4799,False,
"Massage PU Leather Lounge Living Room Recliner Chair w/ Remote, Footrest, Black",0,Brand New,27099,False,51
Office Gaming Chair Computer Racing PU Executive Vibration Seat Swivel Blue,0,Brand New,11999,True,
High-Back Ergonomic Office Racing Excecutive Chair Leather Computer Task Chair,0,Brand New,10896,True,205
New ListingOffice Chair Desck,0,Pre-Owned,18500,False,
PC Gaming Chair Massage Office Chair Ergonomic Desk Chair Adjustable PU Leather,0,Brand New,8799,False,
Adjustable Posture Chair Work Desk Stool Home Office Ergonomic Kneeling Chairs ,0,Brand New,6099,False,
High Back Office Chair Black PU Soft Leather Executive Ergonomic Computer Desk,0,Brand New,10999,True,793
Razer Iskur Gaming Chair with Lumbar Support - Black Certified Refurbished,0,Certified - Refurbished,39999,True,
"gaming chair racing for pc gaming and console gaming, black and white",,Pre-Owned,3000,False,
Kneeling Chair Home Office Ergonomic Computer Desk Wood Stool For Active Sitting,0,Brand New,7759,True,
Adjustable bentwood Ergonomic Kneeling Chair Stool Strengthen Muscles Furniture,0,Brand New,6299,True,
"Rolling Shop Stool, Mechanics Work Seat Adjustable Chair Roll Swivel Tool Garage",0,Brand New,2799,True,11
